index,mean,standard_deviation
id,15.5,9.38083151964686
MDVP:Fo(Hz),153.8179166666667,40.921111764876045
MDVP:Fhi(Hz),196.77634895833333,66.13403326760577
MDVP:Flo(Hz),116.38974999999999,37.573414316622895
MDVP:Jitter(%),0.006113697916666666,0.004145349225733944
vocal_range,80.38659895833334,70.3583500039443
relative_avg_pitch,0.5099169592435908,0.16259095500162782
MDVP:Jitter(Abs),4.3552083333333336e-05,3.085221559287513e-05
MDVP:RAP,0.003245364583333333,0.0025371058051203636
MDVP:PPQ,0.0033766145833333335,0.0023542755844772655
Jitter:DDP,0.00973671875,0.007610452000814277
MDVP:Shimmer,0.029314322916666666,0.01640561799405658
MDVP:Shimmer(dB),0.2774479166666667,0.16778363049530898
Shimmer:APQ3,0.015467864583333334,0.008720383685312454
Shimmer:APQ5,0.017612395833333332,0.01059169885224334
MDVP:APQ,0.023700677083333337,0.014926821670132292
Shimmer:DDA,0.046403802083333334,0.026161144689020248
NHR,0.023873281250000003,0.034117682422026355
HNR,21.976072916666666,4.1231091762719405
status,0.75,0.43994134506405985
RPDE,0.4977956666666667,0.09525311483231436
DFA,0.7181537395833334,0.05378639226738921
spread1,-5.7104042604166665,0.9581199004685966
spread2,0.22470022916666668,0.06962489879456685
D2,2.371347552083333,0.31447350597698087
PPE,0.20461504166666666,0.07965115241712668
